model,seed,components,quantile,file_id,scored_points,anomaly_points,threshold,average_precision,auroc,point_precision,point_recall,point_f1,tp,fp,tn,fn,reference_event_count,predicted_event_count,matched_reference_event_count,matched_predicted_event_count,missed_reference_event_count,false_predicted_event_count,overlap_event_precision,overlap_event_recall,overlap_event_f1,duration_precision,duration_recall,duration_f1,mean_reference_coverage,median_reference_coverage,mean_fragments_per_reference,false_alarm_events_per_normal_hour,median_detection_delay_seconds,detection_delay_iqr_seconds,events_covered_10pct,events_missed_10pct,event_recall_10pct,events_covered_50pct,events_missed_50pct,event_recall_50pct
full,17,representation+prediction,0.995,test1,43074,629,3.691631555557251,0.6946660349366441,0.9649876647624598,0.1589330369547096,0.9093799682034976,0.2705771050141911,572,3027,39418,57,5,649,5,5,0,644,0.0077041602465331,1.0,0.0152905198776758,0.1589330369547096,0.9093799682034976,0.2705771050141911,0.8996580762701296,0.9550561797752808,2.6,54.62127459064672,4.0,16.0,5,0,1.0,5,0,1.0
full,17,representation+prediction,0.995,test2,118674,3449,3.691631555557251,0.4002025377136023,0.8613465882080146,0.1517374774894951,0.6596114815888663,0.2467194447456892,2275,12718,102507,1174,20,2859,20,20,0,2839,0.0069954529555788,1.0,0.0138937130948245,0.1517374774894951,0.6596114815888663,0.2467194447456892,0.6559096169184627,0.7103993090835197,5.1,88.69950097635062,25.0,35.75,18,2,0.9,16,4,0.8
full,17,representation+prediction,0.995,test3,107874,1535,3.691631555557251,0.6445843637116198,0.9468332868091056,0.1264308549035784,0.7986970684039087,0.2183048433048433,1226,8471,97868,309,8,1318,8,8,0,1310,0.0060698027314112,1.0,0.0120663650075414,0.1264308549035784,0.7986970684039087,0.2183048433048433,0.7922952253493042,0.9415583810721438,3.375,44.34873376653909,2.0,26.75,8,0,1.0,6,2,0.75
full,17,representation+prediction,0.995,test4,39474,1157,3.691631555557251,0.4280285358725271,0.815168978053232,0.0417525172025035,0.9282627484874676,0.0799107142857142,1074,24649,13668,83,5,2273,5,5,0,2268,0.0021997360316761,1.0,0.0043898156277436,0.0417525172025035,0.9282627484874676,0.0799107142857142,0.9330087389402282,0.975,4.6,213.0855755930788,23.0,28.0,5,0,1.0,5,0,1.0
full,17,representation+prediction,0.995,test5,92274,2177,3.691631555557251,0.5662539604505542,0.9208088384545112,0.0727400867984717,0.9007808911345888,0.1346101043382756,1961,24998,65099,216,12,3540,12,12,0,3528,0.0033898305084745,1.0,0.0067567567567567,0.0727400867984717,0.9007808911345888,0.1346101043382756,0.9127542777628028,0.9638994910941476,3.333333333333333,140.96806774920364,3.5,7.25,12,0,1.0,12,0,1.0
full,17,representation+reconstruction,0.995,test1,43074,629,3.4807496070861816,0.7002380935510585,0.9617581978810696,0.1177299255383376,0.9300476947535772,0.2090032154340836,585,4384,38061,44,5,434,5,5,0,429,0.0115207373271889,1.0,0.0227790432801822,0.1177299255383376,0.9300476947535772,0.2090032154340836,0.9230067946752918,0.9438202247191012,1.2,36.38591117917305,5.0,15.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction,0.995,test2,118674,3449,3.4807496070861816,0.4214461505209464,0.8721242798938454,0.1090569173244703,0.7610901710640765,0.1907772811512046,2625,21445,93780,824,20,1912,20,20,0,1892,0.0104602510460251,1.0,0.020703933747412,0.1090569173244703,0.7610901710640765,0.1907772811512046,0.7463126647766041,0.8468787026066351,3.05,59.11217183770884,18.0,35.75,19,1,0.95,16,4,0.8
full,17,representation+reconstruction,0.995,test3,107874,1535,3.4807496070861816,0.6482693123246648,0.9603903630308,0.0965938350621643,0.8553745928338762,0.1735854045478582,1313,12280,94059,222,8,762,8,8,0,754,0.0104986876640419,1.0,0.0207792207792207,0.0965938350621643,0.8553745928338762,0.1735854045478582,0.8531187155156695,0.9783521220575851,2.375,25.5259124121912,0.5,18.0,8,0,1.0,6,2,0.75
full,17,representation+reconstruction,0.995,test4,39474,1157,3.4807496070861816,0.3933514514563936,0.8067646304700705,0.0372105385560982,0.9680207433016422,0.0716662400819042,1120,28979,9338,37,5,1303,5,5,0,1298,0.0038372985418265,1.0,0.0076452599388379,0.0372105385560982,0.9680207433016422,0.0716662400819042,0.9706360321372042,0.9916666666666668,2.4,121.95109220450452,7.0,10.0,5,0,1.0,5,0,1.0
full,17,representation+reconstruction,0.995,test5,92274,2177,3.4807496070861816,0.5565081155297343,0.9180756539694122,0.054802244717128,0.9375287092328892,0.1035514967021816,2041,35202,54895,136,12,1818,12,12,0,1806,0.0066006600660066,1.0,0.0131147540983606,0.054802244717128,0.9375287092328892,0.1035514967021816,0.9453058187046816,0.9865524587253685,2.0,72.16222515733043,0.0,3.25,12,0,1.0,12,0,1.0
